County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10
San Francisco,2019,Age groups,18-64 years,16.5,(12.7-20.3),13.733333333333333
San Joaquin,2019,Age groups,18-64 years,15.1,(10.6-19.6),26.08011049723757
San Luis Obispo,2019,Age groups,18-64 years,22.9,(9.9-35.9),17.93972602739726
Santa Barbara,2019,Age groups,18-64 years,11.1,(6.2-16.0),19.43013698630137
Santa Clara,2019,Age groups,18-64 years,15.4,(12.8-18.0),18.258333333333333
Shasta,2019,Age groups,18-64 years,23.9,(16.9-30.9),12.015873015873016
Solano,2019,Age groups,18-64 years,26.3,(15.9-36.6),12.125
Sonoma,2019,Age groups,18-64 years,20.4,(13.3-27.5),11.326923076923077
Stanislaus,2019,Age groups,18-64 years,17.7,(13.5-22.0),27.02279202279202
Sutter,2019,Age groups,18-64 years,18.9,(9.6-28.1),22.322222222222223
Tehama,2019,Age groups,18-64 years,21.8,(12.4-31.2),14.15
Tulare,2019,Age groups,18-64 years,11.4,(7.0-15.7),45.71111111111111
Ventura,2019,Age groups,18-64 years,12.0,(8.7-15.3),20.413698630136988
Yolo,2019,Age groups,18-64 years,30.2,(20.0-40.4),20.177419354838708
Butte,2019,Age groups,65+ years,12.4,(7.3-17.5),19.914285714285715
Calaveras,2019,Age groups,65+ years,22.4,(16.2-28.6),12.625368731563421
Colusa,2019,Age groups,65+ years,15.6,(9.8-21.3),28.03038674033149
Contra Costa,2019,Age groups,65+ years,18.7,(13.5-24.0),14.344262295081966
El Dorado,2019,Age groups,65+ years,15.1,(9.8-20.4),13.896848137535816
Fresno,2019,Age groups,65+ years,19.3,(11.2-27.5),34.85479452054795
Glenn,2019,Age groups,65+ years,15.6,(9.8-21.3),19.864942528735632
Humboldt,2019,Age groups,65+ years,13.7,(8.6-18.8),14.706896551724139
Imperial,2019,Age groups,65+ years,17.3,(4.5-30.0),43.45753424657534
Inyo,2019,Age groups,65+ years,22.4,(16.2-28.6),23.4
Kern,2019,Age groups,65+ years,14.9,(6.6-23.2),28.44931506849315
Kings,2019,Age groups,65+ years,25.8,(6.9-44.7),48.21643835616438
Lake,2019,Age groups,65+ years,10.1,(6.7-13.5),9.772727272727273
Los Angeles,2019,Age groups,65+ years,14.1,(11.9-16.3),22.49586776859504
Madera,2019,Age groups,65+ years,24.4,(15.8-33.1),35.562130177514796
Marin,2019,Age groups,65+ years,17.9,(12.3-23.5),13.35593220338983
Mariposa,2019,Age groups,65+ years,22.4,(16.2-28.6),20.12264150943396
Mendocino,2019,Age groups,65+ years,10.3,(6.4-14.1),12.084269662921349
Merced,2019,Age groups,65+ years,12.0,(7.8-16.1),28.81967213114754
Mono,2019,Age groups,65+ years,22.4,(16.2-28.6),25.101369863013698
Monterey,2019,Age groups,65+ years,22.6,(12.9-32.3),19.07079646017699
Napa,2019,Age groups,65+ years,29.5,(13.8-45.2),13.214285714285714
Orange,2019,Age groups,65+ years,10.5,(8.2-12.9),21.956043956043956
Placer,2019,Age groups,65+ years,9.1,(5.7-12.5),14.363888888888889
Riverside,2019,Age groups,65+ years,11.1,(8.7-13.5),31.315068493150687
Sacramento,2019,Age groups,65+ years,16.3,(12.1-20.5),19.386111111111113
San Benito,2019,Age groups,65+ years,13.1,(7.7-18.6),16.598314606741575
San Bernardino,2019,Age groups,65+ years,14.3,(10.0-18.6),24.361643835616437
San Diego,2019,Age groups,65+ years,11.4,(9.4-13.4),20.024793388429753
San Francisco,2019,Age groups,65+ years,15.7,(9.2-22.2),13.733333333333333
San Joaquin,2019,Age groups,65+ years,12.7,(5.1-20.3),26.08011049723757
San Luis Obispo,2019,Age groups,65+ years,15.6,(9.9-21.2),17.93972602739726
Santa Barbara,2019,Age groups,65+ years,10.5,(3.9-17.2),19.43013698630137
Santa Clara,2019,Age groups,65+ years,19.9,(14.2-25.6),18.258333333333333
Shasta,2019,Age groups,65+ years,11.6,(7.1-16.0),12.015873015873016
Solano,2019,Age groups,65+ years,28.6,(19.6-37.7),12.125
Sonoma,2019,Age groups,65+ years,20.0,(12.4-27.5),11.326923076923077
Stanislaus,2019,Age groups,65+ years,13.8,(6.0-21.6),27.02279202279202
Sutter,2019,Age groups,65+ years,11.7,(7.6-15.8),22.322222222222223
Tehama,2019,Age groups,65+ years,15.6,(9.8-21.3),14.15
Tulare,2019,Age groups,65+ years,14.7,(6.5-22.9),45.71111111111111
Ventura,2019,Age groups,65+ years,10.5,(6.5-14.5),20.413698630136988
Yolo,2019,Age groups,65+ years,17.8,(11.0-24.6),20.177419354838708
Butte,2021,Total population,All ages,14.7,(11.3-18.2),25.779661016949152
Calaveras,2021,Total population,All ages,24.4,(18.6-30.2),19.356940509915013
Colusa,2021,Total population,All ages,16.1,(11.8-20.4),28.00280112044818
Contra Costa,2021,Total population,All ages,17.8,(15-20.6),15.508196721311476
El Dorado,2021,Total population,All ages,15.2,(11.1-19.2),21.22327044025157
Fresno,2021,Total population,All ages,20.4,(17.3-23.5),41.52602739726027
Glenn,2021,Total population,All ages,16.1,(11.8-20.4),23.5943661971831
Humboldt,2021,Total population,All ages,22.6,(16.1-29.2),20.434131736526947
Imperial,2021,Total population,All ages,17.5,(13.1-21.9),51.556164383561644
Inyo,2021,Total population,All ages,24.4,(18.6-30.2),27.134246575342466
Kern,2021,Total population,All ages,16.8,(13-20.6),47.775342465753425
Kings,2021,Total population,All ages,16.0,(12.4-19.7),54.64657534246575
Lake,2021,Total population,All ages,10.9,(7.1-14.7),14.355263157894736
Los Angeles,2021,Total population,All ages,14.3,(13.4-15.1),28.043835616438358
Madera,2021,Total population,All ages,15.0,(11.4-18.6),41.701949860724234
Marin,2021,Total population,All ages,15.2,(11.7-18.8),13.688524590163935
Mariposa,2021,Total population,All ages,24.4,(18.6-30.2),16.60233918128655
Mendocino,2021,Total population,All ages,20.1,(14.4-25.8),13.21613832853026
Merced,2021,Total population,All ages,14.7,(10.7-18.6),35.2037037037037
Mono,2021,Total population,All ages,24.4,(18.6-30.2),25.755494505494507
Monterey,2021,Total population,All ages,11.3,(6.7-15.9),23.545961002785514
Napa,2021,Total population,All ages,16.3,(11.5-21.2),11.956521739130435
Orange,2021,Total population,All ages,12.2,(10.8-13.6),22.786703601108034
Placer,2021,Total population,All ages,17.4,(14.4-20.4),19.94812680115274
Riverside,2021,Total population,All ages,13.5,(11.7-15.3),42.63013698630137
Sacramento,2021,Total population,All ages,18.8,(16.5-21.1),21.81179775280899
San Benito,2021,Total population,All ages,15.6,(9.5-21.7),19.05785123966942
San Bernardino,2021,Total population,All ages,16.2,(14-18.4),29.564383561643837
San Diego,2021,Total population,All ages,14.3,(13.1-15.6),23.0
San Francisco,2021,Total population,All ages,16.1,(13.4-18.8),15.133333333333333
San Joaquin,2021,Total population,All ages,16.2,(13.4-19.1),32.087671232876716
San Luis Obispo,2021,Total population,All ages,16.9,(12.3-21.4),18.96712328767123
Santa Barbara,2021,Total population,All ages,17.2,(13.7-20.7),19.435616438356163
Santa Clara,2021,Total population,All ages,14.2,(12.4-16.1),18.99173553719008
Shasta,2021,Total population,All ages,12.5,(8.7-16.3),20.274193548387096
Solano,2021,Total population,All ages,19.2,(14.6-23.7),14.224137931034482
Sonoma,2021,Total population,All ages,15.9,(12.5-19.4),13.123626373626374
Stanislaus,2021,Total population,All ages,18.1,(13.8-22.3),35.58100558659218
Sutter,2021,Total population,All ages,17.3,(12.4-22.2),19.875
Tehama,2021,Total population,All ages,16.1,(11.8-20.4),22.692307692307693
Tulare,2021,Total population,All ages,12.0,(9-14.9),51.54385964912281
Ventura,2021,Total population,All ages,15.2,(11.9-18.4),22.467032967032967
Yolo,2021,Total population,All ages,19.4,(12.5-26.4),19.861538461538462
Butte,2021,Child vs. adult,0-17 years,7.9,(1.6-14.3),25.779661016949152
Calaveras,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),19.356940509915013
Contra Costa,2021,Child vs. adult,0-17 years,9.7,(4.9-14.4),15.508196721311476
El Dorado,2021,Child vs. adult,0-17 years,4.9,(0.6-9.1),21.22327044025157
Fresno,2021,Child vs. adult,0-17 years,16.1,(10.5-21.8),41.52602739726027
Humboldt,2021,Child vs. adult,0-17 years,9.2,(0.5-17.9),20.434131736526947
Imperial,2021,Child vs. adult,0-17 years,17.8,(7.9-27.7),51.556164383561644
Inyo,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),27.134246575342466
Kern,2021,Child vs. adult,0-17 years,13.2,(6.6-19.8),47.775342465753425
Kings,2021,Child vs. adult,0-17 years,8.7,(2.2-15.3),54.64657534246575
Los Angeles,2021,Child vs. adult,0-17 years,11.4,(9.6-13.3),28.043835616438358
Madera,2021,Child vs. adult,0-17 years,11.3,(1.7-20.8),41.701949860724234
Marin,2021,Child vs. adult,0-17 years,6.2,(0.4-12),13.688524590163935
Mariposa,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),16.60233918128655
Mono,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),25.755494505494507
Napa,2021,Child vs. adult,0-17 years,4.2,(0.6-7.8),11.956521739130435
Orange,2021,Child vs. adult,0-17 years,10.7,(6.1-15.4),22.786703601108034
Placer,2021,Child vs. adult,0-17 years,5.7,(1.4-10),19.94812680115274
Riverside,2021,Child vs. adult,0-17 years,6.0,(3.7-8.3),42.63013698630137
Sacramento,2021,Child vs. adult,0-17 years,12.2,(6.6-17.9),21.81179775280899
San Benito,2021,Child vs. adult,0-17 years,11.2,(3.7-18.6),19.05785123966942
San Bernardino,2021,Child vs. adult,0-17 years,13.5,(8.5-18.5),29.564383561643837
San Diego,2021,Child vs. adult,0-17 years,9.5,(6.6-12.5),23.0
San Joaquin,2021,Child vs. adult,0-17 years,11.8,(6.1-17.5),32.087671232876716
San Luis Obispo,2021,Child vs. adult,0-17 years,6.6,(0.7-12.5),18.96712328767123
Santa Clara,2021,Child vs. adult,0-17 years,10.6,(6.6-14.7),18.99173553719008
Stanislaus,2021,Child vs. adult,0-17 years,6.2,(0.1-12.4),35.58100558659218
Sutter,2021,Child vs. adult,0-17 years,11.0,(1.4-20.6),19.875
Tulare,2021,Child vs. adult,0-17 years,4.0,(1.1-6.9),51.54385964912281
Ventura,2021,Child vs. adult,0-17 years,10.6,(2.5-18.7),22.467032967032967
Yolo,2021,Child vs. adult,0-17 years,8.8,(2.5-15.1),19.861538461538462
Butte,2021,Child vs. adult,18+ years,16.1,(12.1-20.1),25.779661016949152
Calaveras,2021,Child vs. adult,18+ years,25.6,(19.1-32.2),19.356940509915013
Colusa,2021,Child vs. adult,18+ years,19.4,(14.4-24.3),28.00280112044818
Contra Costa,2021,Child vs. adult,18+ years,19.6,(16.4-22.7),15.508196721311476
El Dorado,2021,Child vs. adult,18+ years,17.0,(12.4-21.7),21.22327044025157
Fresno,2021,Child vs. adult,18+ years,21.8,(18-25.6),41.52602739726027
Glenn,2021,Child vs. adult,18+ years,19.4,(14.4-24.3),23.5943661971831
Humboldt,2021,Child vs. adult,18+ years,25.6,(17.7-33.4),20.434131736526947
Imperial,2021,Child vs. adult,18+ years,17.4,(12.4-22.3),51.556164383561644
Inyo,2021,Child vs. adult,18+ years,25.6,(19.1-32.2),27.134246575342466
Kern,2021,Child vs. adult,18+ years,18.0,(13.7-22.2),47.775342465753425
Kings,2021,Child vs. adult,18+ years,18.9,(14.5-23.4),54.64657534246575
Lake,2021,Child vs. adult,18+ years,12.3,(8-16.5),14.355263157894736
Los Angeles,2021,Child vs. adult,18+ years,14.9,(14-15.8),28.043835616438358
Madera,2021,Child vs. adult,18+ years,15.9,(12.1-19.8),41.701949860724234
Marin,2021,Child vs. adult,18+ years,16.9,(12.9-20.8),13.688524590163935
Mariposa,2021,Child vs. adult,18+ years,25.6,(19.1-32.2),16.60233918128655
Mendocino,2021,Child vs. adult,18+ years,22.4,(16.3-28.6),13.21613832853026
Merced,2021,Child vs. adult,18+ years,18.1,(13.2-23.1),35.2037037037037
Mono,2021,Child vs. adult,18+ years,25.6,(19.1-32.2),25.755494505494507
Monterey,2021,Child vs. adult,18+ years,11.6,(7.5-15.7),23.545961002785514
Napa,2021,Child vs. adult,18+ years,19.2,(13.5-25),11.956521739130435
Orange,2021,Child vs. adult,18+ years,12.5,(11.2-13.9),22.786703601108034
Placer,2021,Child vs. adult,18+ years,19.2,(15.9-22.6),19.94812680115274
Riverside,2021,Child vs. adult,18+ years,15.5,(13.3-17.6),42.63013698630137
Sacramento,2021,Child vs. adult,18+ years,20.5,(18-23.1),21.81179775280899
San Benito,2021,Child vs. adult,18+ years,16.5,(9.4-23.7),19.05785123966942
San Bernardino,2021,Child vs. adult,18+ years,17.0,(14.6-19.3),29.564383561643837
San Diego,2021,Child vs. adult,18+ years,15.6,(14.4-16.8),23.0
San Francisco,2021,Child vs. adult,18+ years,18.0,(15-21),15.133333333333333
San Joaquin,2021,Child vs. adult,18+ years,17.5,(14.3-20.8),32.087671232876716
San Luis Obispo,2021,Child vs. adult,18+ years,18.9,(13.7-24),18.96712328767123
Santa Barbara,2021,Child vs. adult,18+ years,20.2,(16.2-24.3),19.435616438356163
Santa Clara,2021,Child vs. adult,18+ years,15.1,(13-17.1),18.99173553719008
Shasta,2021,Child vs. adult,18+ years,14.9,(10.3-19.6),20.274193548387096
Solano,2021,Child vs. adult,18+ years,21.9,(16.6-27.1),14.224137931034482
Sonoma,2021,Child vs. adult,18+ years,18.4,(14.6-22.3),13.123626373626374
Stanislaus,2021,Child vs. adult,18+ years,21.2,(16.2-26.2),35.58100558659218
Sutter,2021,Child vs. adult,18+ years,19.1,(13.3-24.8),19.875
Tehama,2021,Child vs. adult,18+ years,19.4,(14.4-24.3),22.692307692307693
Tulare,2021,Child vs. adult,18+ years,14.9,(11.2-18.7),51.54385964912281
Ventura,2021,Child vs. adult,18+ years,16.3,(12.8-19.7),22.467032967032967
Yolo,2021,Child vs. adult,18+ years,22.0,(13.6-30.3),19.861538461538462
Fresno,2021,Age groups,0-4 years,15.9,(6.3-25.5),41.52602739726027
Los Angeles,2021,Age groups,0-4 years,1.1,(0.3-1.8),28.043835616438358
Orange,2021,Age groups,0-4 years,8.5,(0.8-16.2),22.786703601108034
Sacramento,2021,Age groups,0-4 years,8.2,(2.6-13.7),21.81179775280899
San Joaquin,2021,Age groups,0-4 years,15.9,(7-24.8),32.087671232876716
Butte,2021,Age groups,5-17 years,10.8,(1.7-19.8),25.779661016949152
Calaveras,2021,Age groups,5-17 years,19.7,(2.1-37.2),19.356940509915013
Contra Costa,2021,Age groups,5-17 years,14.7,(7.7-21.7),15.508196721311476
Fresno,2021,Age groups,5-17 years,16.2,(9.4-23),41.52602739726027
Humboldt,2021,Age groups,5-17 years,14.6,(2.5-26.7),20.434131736526947
Imperial,2021,Age groups,5-17 years,23.9,(10.5-37.2),51.556164383561644
Inyo,2021,Age groups,5-17 years,19.7,(2.1-37.2),27.134246575342466
Kern,2021,Age groups,5-17 years,17.5,(8.6-26.4),47.775342465753425
Kings,2021,Age groups,5-17 years,12.9,(2.4-23.4),54.64657534246575
Los Angeles,2021,Age groups,5-17 years,15.9,(13.3-18.5),28.043835616438358
Madera,2021,Age groups,5-17 years,15.5,(2.2-28.7),41.701949860724234
Marin,2021,Age groups,5-17 years,6.2,(0.4-12.1),13.688524590163935
Mariposa,2021,Age groups,5-17 years,19.7,(2.1-37.2),16.60233918128655
Mono,2021,Age groups,5-17 years,19.7,(2.1-37.2),25.755494505494507
Napa,2021,Age groups,5-17 years,5.3,(0.6-9.9),11.956521739130435
Orange,2021,Age groups,5-17 years,11.5,(5.9-17.2),22.786703601108034
Placer,2021,Age groups,5-17 years,8.3,(2.5-14),19.94812680115274
Riverside,2021,Age groups,5-17 years,8.2,(5-11.3),42.63013698630137
Sacramento,2021,Age groups,5-17 years,14.1,(6.1-22.1),21.81179775280899
San Benito,2021,Age groups,5-17 years,14.8,(5-24.7),19.05785123966942
San Bernardino,2021,Age groups,5-17 years,19.8,(12.2-27.4),29.564383561643837
San Diego,2021,Age groups,5-17 years,13.2,(9-17.4),23.0
San Joaquin,2021,Age groups,5-17 years,8.3,(1-15.7),32.087671232876716
San Luis Obispo,2021,Age groups,5-17 years,9.7,(0.6-18.8),18.96712328767123
Santa Clara,2021,Age groups,5-17 years,14.7,(8.7-20.6),18.99173553719008
Tulare,2021,Age groups,5-17 years,5.8,(1.6-10),51.54385964912281
Ventura,2021,Age groups,5-17 years,14.3,(2.9-25.6),22.467032967032967
Yolo,2021,Age groups,5-17 years,13.0,(4-22),19.861538461538462
Butte,2021,Age groups,18-64 years,15.6,(10.4-20.8),25.779661016949152
Calaveras,2021,Age groups,18-64 years,27.9,(18.4-37.5),19.356940509915013
Colusa,2021,Age groups,18-64 years,20.6,(14.4-26.7),28.00280112044818
Contra Costa,2021,Age groups,18-64 years,21.8,(18-25.6),15.508196721311476
El Dorado,2021,Age groups,18-64 years,15.7,(10.2-21.2),21.22327044025157
Fresno,2021,Age groups,18-64 years,21.9,(17.8-26),41.52602739726027
Glenn,2021,Age groups,18-64 years,20.6,(14.4-26.7),23.5943661971831
Humboldt,2021,Age groups,18-64 years,27.2,(18.3-36.2),20.434131736526947
Imperial,2021,Age groups,18-64 years,17.1,(10.9-23.3),51.556164383561644
Inyo,2021,Age groups,18-64 years,27.9,(18.4-37.5),27.134246575342466
Kern,2021,Age groups,18-64 years,19.6,(14.6-24.6),47.775342465753425
Kings,2021,Age groups,18-64 years,18.4,(13.3-23.4),54.64657534246575
Lake,2021,Age groups,18-64 years,14.2,(8.3-20),14.355263157894736
Los Angeles,2021,Age groups,18-64 years,15.4,(14.3-16.4),28.043835616438358
Madera,2021,Age groups,18-64 years,16.6,(11.8-21.4),41.701949860724234
Marin,2021,Age groups,18-64 years,17.8,(12.8-22.8),13.688524590163935
Mariposa,2021,Age groups,18-64 years,27.9,(18.4-37.5),16.60233918128655
Mendocino,2021,Age groups,18-64 years,24.6,(15.8-33.5),13.21613832853026
Merced,2021,Age groups,18-64 years,17.8,(12.4-23.1),35.2037037037037
Mono,2021,Age groups,18-64 years,27.9,(18.4-37.5),25.755494505494507
Monterey,2021,Age groups,18-64 years,12.3,(7.5-17.2),23.545961002785514
Napa,2021,Age groups,18-64 years,20.6,(12.9-28.4),11.956521739130435
Orange,2021,Age groups,18-64 years,12.9,(11.4-14.5),22.786703601108034
Placer,2021,Age groups,18-64 years,17.7,(13.4-21.9),19.94812680115274
Riverside,2021,Age groups,18-64 years,16.2,(13.5-18.8),42.63013698630137
Sacramento,2021,Age groups,18-64 years,20.8,(17.9-23.7),21.81179775280899
San Benito,2021,Age groups,18-64 years,17.5,(8.8-26.2),19.05785123966942
San Bernardino,2021,Age groups,18-64 years,17.2,(14.6-19.7),29.564383561643837
San Diego,2021,Age groups,18-64 years,16.6,(15.1-18),23.0
San Francisco,2021,Age groups,18-64 years,19.5,(16.1-22.9),15.133333333333333
San Joaquin,2021,Age groups,18-64 years,17.0,(13-20.9),32.087671232876716
San Luis Obispo,2021,Age groups,18-64 years,20.4,(13.8-27.1),18.96712328767123
Santa Barbara,2021,Age groups,18-64 years,20.4,(15.5-25.3),19.435616438356163
Santa Clara,2021,Age groups,18-64 years,16.0,(13.6-18.5),18.99173553719008
Shasta,2021,Age groups,18-64 years,15.0,(9.5-20.6),20.274193548387096
Solano,2021,Age groups,18-64 years,22.1,(15.6-28.6),14.224137931034482
Sonoma,2021,Age groups,18-64 years,18.4,(13.6-23.2),13.123626373626374
Stanislaus,2021,Age groups,18-64 years,22.1,(16.2-27.9),35.58100558659218
Sutter,2021,Age groups,18-64 years,19.3,(12.4-26.2),19.875
Tehama,2021,Age groups,18-64 years,20.6,(14.4-26.7),22.692307692307693
Tulare,2021,Age groups,18-64 years,16.1,(11.7-20.5),51.54385964912281
Ventura,2021,Age groups,18-64 years,18.0,(13.8-22.2),22.467032967032967
Yolo,2021,Age groups,18-64 years,23.3,(13.9-32.7),19.861538461538462
Butte,2021,Age groups,65+ years,17.9,(12.2-23.5),25.779661016949152
Calaveras,2021,Age groups,65+ years,21.7,(14.4-29),19.356940509915013
Colusa,2021,Age groups,65+ years,16.3,(8.6-24),28.00280112044818
Contra Costa,2021,Age groups,65+ years,13.2,(9-17.3),15.508196721311476
El Dorado,2021,Age groups,65+ years,20.6,(12.5-28.8),21.22327044025157
Fresno,2021,Age groups,65+ years,21.2,(12.1-30.4),41.52602739726027
Glenn,2021,Age groups,65+ years,16.3,(8.6-24),23.5943661971831
Humboldt,2021,Age groups,65+ years,20.6,(11.2-30),20.434131736526947
Imperial,2021,Age groups,65+ years,18.4,(7.7-29),51.556164383561644
Inyo,2021,Age groups,65+ years,21.7,(14.4-29),27.134246575342466
Kern,2021,Age groups,65+ years,9.7,(4.5-14.8),47.775342465753425
Kings,2021,Age groups,65+ years,21.5,(13.6-29.5),54.64657534246575
Lake,2021,Age groups,65+ years,8.2,(4.5-12),14.355263157894736
Los Angeles,2021,Age groups,65+ years,13.2,(11.2-15.1),28.043835616438358
Madera,2021,Age groups,65+ years,14.0,(8.3-19.8),41.701949860724234
Marin,2021,Age groups,65+ years,15.2,(9.9-20.5),13.688524590163935
Mariposa,2021,Age groups,65+ years,21.7,(14.4-29),16.60233918128655
Mendocino,2021,Age groups,65+ years,17.5,(11-24.1),13.21613832853026
Merced,2021,Age groups,65+ years,19.8,(9.6-30),35.2037037037037
Mono,2021,Age groups,65+ years,21.7,(14.4-29),25.755494505494507
Monterey,2021,Age groups,65+ years,8.0,(4.5-11.5),23.545961002785514
Napa,2021,Age groups,65+ years,16.2,(9.6-22.7),11.956521739130435
Orange,2021,Age groups,65+ years,10.9,(8.3-13.5),22.786703601108034
Placer,2021,Age groups,65+ years,23.4,(17.2-29.7),19.94812680115274
Riverside,2021,Age groups,65+ years,13.1,(9.7-16.6),42.63013698630137
Sacramento,2021,Age groups,65+ years,19.5,(14-25),21.81179775280899
San Benito,2021,Age groups,65+ years,12.1,(7.3-16.8),19.05785123966942
San Bernardino,2021,Age groups,65+ years,16.2,(11.2-21.2),29.564383561643837
San Diego,2021,Age groups,65+ years,12.5,(10.5-14.4),23.0
San Francisco,2021,Age groups,65+ years,11.7,(6.9-16.4),15.133333333333333
San Joaquin,2021,Age groups,65+ years,19.4,(13-25.8),32.087671232876716
San Luis Obispo,2021,Age groups,65+ years,15.0,(8-21.9),18.96712328767123
Santa Barbara,2021,Age groups,65+ years,19.5,(13.1-26),19.435616438356163
Santa Clara,2021,Age groups,65+ years,10.6,(6.5-14.7),18.99173553719008
Shasta,2021,Age groups,65+ years,14.7,(7.8-21.6),20.274193548387096
Solano,2021,Age groups,65+ years,21.5,(12.3-30.6),14.224137931034482
Sonoma,2021,Age groups,65+ years,18.5,(13.1-23.9),13.123626373626374
Stanislaus,2021,Age groups,65+ years,16.8,(8-25.5),35.58100558659218
Sutter,2021,Age groups,65+ years,17.8,(8.7-26.8),19.875
Tehama,2021,Age groups,65+ years,16.3,(8.6-24),22.692307692307693
Tulare,2021,Age groups,65+ years,9.9,(5.5-14.3),51.54385964912281
Ventura,2021,Age groups,65+ years,11.3,(6.4-16.3),22.467032967032967
Yolo,2021,Age groups,65+ years,14.6,(7.8-21.4),19.861538461538462
