County,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM2.5
Madera,2019,Age groups,65+ years,24.4,(15.8-33.1),9.728384293577982
Marin,2019,Age groups,65+ years,17.9,(12.3-23.5),6.425785025495751
Mendocino,2019,Age groups,65+ years,10.3,(6.4-14.1),6.025607581717452
Merced,2019,Age groups,65+ years,12.0,(7.8-16.1),9.227670866295265
Mono,2019,Age groups,65+ years,22.4,(16.2-28.6),8.512718729281767
Monterey,2019,Age groups,65+ years,22.6,(12.9-32.3),3.74429521369863
Napa,2019,Age groups,65+ years,29.5,(13.8-45.2),5.968946276056338
Nevada,2019,Age groups,65+ years,16.6,(11.5-21.7),6.299804672316384
Orange,2019,Age groups,65+ years,10.5,(8.2-12.9),9.107763775342466
Placer,2019,Age groups,65+ years,9.1,(5.7-12.5),7.20809133427762
Riverside,2019,Age groups,65+ years,11.1,(8.7-13.5),4.67727062739726
Sacramento,2019,Age groups,65+ years,16.3,(12.1-20.5),5.774376194444445
San Benito,2019,Age groups,65+ years,13.1,(7.7-18.6),4.961618297752809
San Bernardino,2019,Age groups,65+ years,14.3,(10.0-18.6),15.391920501369864
San Diego,2019,Age groups,65+ years,11.4,(9.4-13.4),13.796374869688385
San Francisco,2019,Age groups,65+ years,15.7,(9.2-22.2),7.711459540389972
San Joaquin,2019,Age groups,65+ years,12.7,(5.1-20.3),9.287168785714286
San Luis Obispo,2019,Age groups,65+ years,15.6,(9.9-21.2),7.0284843726027395
San Mateo,2019,Age groups,65+ years,16.0,(6.0-26.0),7.028916630813954
Santa Barbara,2019,Age groups,65+ years,10.5,(3.9-17.2),6.776553383561644
Santa Clara,2019,Age groups,65+ years,19.9,(14.2-25.6),5.886988980769231
Santa Cruz,2019,Age groups,65+ years,9.3,(6.0-12.6),6.504698509641873
Siskiyou,2019,Age groups,65+ years,12.3,(7.9-16.8),5.863393243016761
Solano,2019,Age groups,65+ years,28.6,(19.6-37.7),8.670733315642458
Sonoma,2019,Age groups,65+ years,20.0,(12.4-27.5),5.723736790087464
Stanislaus,2019,Age groups,65+ years,13.8,(6.0-21.6),7.990905917808219
Tehama,2019,Age groups,65+ years,15.6,(9.8-21.3),5.475221498583569
Ventura,2019,Age groups,65+ years,10.5,(6.5-14.5),7.25176875890411
Alameda,2021,Total population,All ages,17.3,(15.1-19.5),8.016797906849316
Butte,2021,Total population,All ages,14.7,(11.3-18.2),11.170550805555555
Calaveras,2021,Total population,All ages,24.4,(18.6-30.2),8.491161033149172
Colusa,2021,Total population,All ages,16.1,(11.8-20.4),10.597676214876033
Contra Costa,2021,Total population,All ages,17.8,(15-20.6),8.13205958630137
Fresno,2021,Total population,All ages,20.4,(17.3-23.5),15.582923783561645
Imperial,2021,Total population,All ages,17.5,(13.1-21.9),10.288805681440444
Inyo,2021,Total population,All ages,24.4,(18.6-30.2),8.692277589041096
Kern,2021,Total population,All ages,16.8,(13-20.6),17.177790142465753
Kings,2021,Total population,All ages,16.0,(12.4-19.7),14.549546838356164
Los Angeles,2021,Total population,All ages,14.3,(13.4-15.1),13.758870345205478
Madera,2021,Total population,All ages,15.0,(11.4-18.6),12.445088927170868
Marin,2021,Total population,All ages,15.2,(11.7-18.8),7.08221735734072
Mendocino,2021,Total population,All ages,20.1,(14.4-25.8),9.275894041208792
Merced,2021,Total population,All ages,14.7,(10.7-18.6),11.323016652054795
Mono,2021,Total population,All ages,24.4,(18.6-30.2),11.885422137614679
Monterey,2021,Total population,All ages,11.3,(6.7-15.9),3.6138012821917807
Napa,2021,Total population,All ages,16.3,(11.5-21.2),7.275153388059701
Nevada,2021,Total population,All ages,16.4,(12.3-20.4),8.739672708215297
Orange,2021,Total population,All ages,12.2,(10.8-13.6),10.853986523287672
Placer,2021,Total population,All ages,17.4,(14.4-20.4),9.790301983379502
Riverside,2021,Total population,All ages,13.5,(11.7-15.3),6.961200602739726
Sacramento,2021,Total population,All ages,18.8,(16.5-21.1),9.705580372602741
San Benito,2021,Total population,All ages,15.6,(9.5-21.7),5.705513291316526
San Bernardino,2021,Total population,All ages,16.2,(14-18.4),17.78084528219178
San Diego,2021,Total population,All ages,14.3,(13.1-15.6),10.067989849315069
San Francisco,2021,Total population,All ages,16.1,(13.4-18.8),7.233964920679887
San Joaquin,2021,Total population,All ages,16.2,(13.4-19.1),12.587208419178083
San Luis Obispo,2021,Total population,All ages,16.9,(12.3-21.4),6.611409657534247
San Mateo,2021,Total population,All ages,15.6,(12.3-18.8),6.0931133005617975
Santa Barbara,2021,Total population,All ages,17.2,(13.7-20.7),6.746123783561644
Santa Clara,2021,Total population,All ages,14.2,(12.4-16.1),5.5119596931506845
Santa Cruz,2021,Total population,All ages,15.0,(9.8-20.2),4.83616171780822
Siskiyou,2021,Total population,All ages,12.8,(6.6-19.1),14.547603720930233
Solano,2021,Total population,All ages,19.2,(14.6-23.7),8.457681502808988
Sonoma,2021,Total population,All ages,15.9,(12.5-19.4),7.0161409244712996
Stanislaus,2021,Total population,All ages,18.1,(13.8-22.3),15.005517684931508
Sutter,2021,Total population,All ages,17.3,(12.4-22.2),14.62625910055866
Tehama,2021,Total population,All ages,16.1,(11.8-20.4),11.01805901734104
Tulare,2021,Total population,All ages,12.0,(9-14.9),14.20361650276243
Ventura,2021,Total population,All ages,15.2,(11.9-18.4),7.6933700961538465
Yolo,2021,Total population,All ages,19.4,(12.5-26.4),6.459136374301676
Alameda,2021,Child vs. adult,0-17 years,4.5,(2.2-6.8),8.016797906849316
Butte,2021,Child vs. adult,0-17 years,7.9,(1.6-14.3),11.170550805555555
Calaveras,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),8.491161033149172
Contra Costa,2021,Child vs. adult,0-17 years,9.7,(4.9-14.4),8.13205958630137
Fresno,2021,Child vs. adult,0-17 years,16.1,(10.5-21.8),15.582923783561645
Imperial,2021,Child vs. adult,0-17 years,17.8,(7.9-27.7),10.288805681440444
Inyo,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),8.692277589041096
Kern,2021,Child vs. adult,0-17 years,13.2,(6.6-19.8),17.177790142465753
Kings,2021,Child vs. adult,0-17 years,8.7,(2.2-15.3),14.549546838356164
Los Angeles,2021,Child vs. adult,0-17 years,11.4,(9.6-13.3),13.758870345205478
Madera,2021,Child vs. adult,0-17 years,11.3,(1.7-20.8),12.445088927170868
Marin,2021,Child vs. adult,0-17 years,6.2,(0.4-12),7.08221735734072
Mono,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),11.885422137614679
Napa,2021,Child vs. adult,0-17 years,4.2,(0.6-7.8),7.275153388059701
Orange,2021,Child vs. adult,0-17 years,10.7,(6.1-15.4),10.853986523287672
Placer,2021,Child vs. adult,0-17 years,5.7,(1.4-10),9.790301983379502
Riverside,2021,Child vs. adult,0-17 years,6.0,(3.7-8.3),6.961200602739726
Sacramento,2021,Child vs. adult,0-17 years,12.2,(6.6-17.9),9.705580372602741
San Benito,2021,Child vs. adult,0-17 years,11.2,(3.7-18.6),5.705513291316526
San Bernardino,2021,Child vs. adult,0-17 years,13.5,(8.5-18.5),17.78084528219178
San Diego,2021,Child vs. adult,0-17 years,9.5,(6.6-12.5),10.067989849315069
San Joaquin,2021,Child vs. adult,0-17 years,11.8,(6.1-17.5),12.587208419178083
San Luis Obispo,2021,Child vs. adult,0-17 years,6.6,(0.7-12.5),6.611409657534247
San Mateo,2021,Child vs. adult,0-17 years,9.1,(3.4-14.8),6.0931133005617975
Santa Clara,2021,Child vs. adult,0-17 years,10.6,(6.6-14.7),5.5119596931506845
Stanislaus,2021,Child vs. adult,0-17 years,6.2,(0.1-12.4),15.005517684931508
Sutter,2021,Child vs. adult,0-17 years,11.0,(1.4-20.6),14.62625910055866
Tulare,2021,Child vs. adult,0-17 years,4.0,(1.1-6.9),14.20361650276243
Ventura,2021,Child vs. adult,0-17 years,10.6,(2.5-18.7),7.6933700961538465
Yolo,2021,Child vs. adult,0-17 years,8.8,(2.5-15.1),6.459136374301676
Alameda,2021,Child vs. adult,18+ years,20.0,(17.4-22.6),8.016797906849316
Butte,2021,Child vs. adult,18+ years,16.1,(12.1-20.1),11.170550805555555
Calaveras,2021,Child vs. adult,18+ years,25.6,(19.1-32.2),8.491161033149172
Colusa,2021,Child vs. adult,18+ years,19.4,(14.4-24.3),10.597676214876033
Contra Costa,2021,Child vs. adult,18+ years,19.6,(16.4-22.7),8.13205958630137
Fresno,2021,Child vs. adult,18+ years,21.8,(18-25.6),15.582923783561645
Imperial,2021,Child vs. adult,18+ years,17.4,(12.4-22.3),10.288805681440444
Inyo,2021,Child vs. adult,18+ years,25.6,(19.1-32.2),8.692277589041096
Kern,2021,Child vs. adult,18+ years,18.0,(13.7-22.2),17.177790142465753
Kings,2021,Child vs. adult,18+ years,18.9,(14.5-23.4),14.549546838356164
Los Angeles,2021,Child vs. adult,18+ years,14.9,(14-15.8),13.758870345205478
Madera,2021,Child vs. adult,18+ years,15.9,(12.1-19.8),12.445088927170868
Marin,2021,Child vs. adult,18+ years,16.9,(12.9-20.8),7.08221735734072
Mendocino,2021,Child vs. adult,18+ years,22.4,(16.3-28.6),9.275894041208792
Merced,2021,Child vs. adult,18+ years,18.1,(13.2-23.1),11.323016652054795
Mono,2021,Child vs. adult,18+ years,25.6,(19.1-32.2),11.885422137614679
Monterey,2021,Child vs. adult,18+ years,11.6,(7.5-15.7),3.6138012821917807
Napa,2021,Child vs. adult,18+ years,19.2,(13.5-25),7.275153388059701
Nevada,2021,Child vs. adult,18+ years,18.9,(14.4-23.4),8.739672708215297
Orange,2021,Child vs. adult,18+ years,12.5,(11.2-13.9),10.853986523287672
Placer,2021,Child vs. adult,18+ years,19.2,(15.9-22.6),9.790301983379502
Riverside,2021,Child vs. adult,18+ years,15.5,(13.3-17.6),6.961200602739726
Sacramento,2021,Child vs. adult,18+ years,20.5,(18-23.1),9.705580372602741
San Benito,2021,Child vs. adult,18+ years,16.5,(9.4-23.7),5.705513291316526
San Bernardino,2021,Child vs. adult,18+ years,17.0,(14.6-19.3),17.78084528219178
San Diego,2021,Child vs. adult,18+ years,15.6,(14.4-16.8),10.067989849315069
San Francisco,2021,Child vs. adult,18+ years,18.0,(15-21),7.233964920679887
San Joaquin,2021,Child vs. adult,18+ years,17.5,(14.3-20.8),12.587208419178083
San Luis Obispo,2021,Child vs. adult,18+ years,18.9,(13.7-24),6.611409657534247
San Mateo,2021,Child vs. adult,18+ years,16.9,(13.2-20.6),6.0931133005617975
Santa Barbara,2021,Child vs. adult,18+ years,20.2,(16.2-24.3),6.746123783561644
Santa Clara,2021,Child vs. adult,18+ years,15.1,(13-17.1),5.5119596931506845
Santa Cruz,2021,Child vs. adult,18+ years,17.4,(11.1-23.7),4.83616171780822
Siskiyou,2021,Child vs. adult,18+ years,14.3,(7.3-21.4),14.547603720930233
Solano,2021,Child vs. adult,18+ years,21.9,(16.6-27.1),8.457681502808988
Sonoma,2021,Child vs. adult,18+ years,18.4,(14.6-22.3),7.0161409244712996
Stanislaus,2021,Child vs. adult,18+ years,21.2,(16.2-26.2),15.005517684931508
Sutter,2021,Child vs. adult,18+ years,19.1,(13.3-24.8),14.62625910055866
Tehama,2021,Child vs. adult,18+ years,19.4,(14.4-24.3),11.01805901734104
Tulare,2021,Child vs. adult,18+ years,14.9,(11.2-18.7),14.20361650276243
Ventura,2021,Child vs. adult,18+ years,16.3,(12.8-19.7),7.6933700961538465
Yolo,2021,Child vs. adult,18+ years,22.0,(13.6-30.3),6.459136374301676
Fresno,2021,Age groups,0-4 years,15.9,(6.3-25.5),15.582923783561645
Los Angeles,2021,Age groups,0-4 years,1.1,(0.3-1.8),13.758870345205478
Orange,2021,Age groups,0-4 years,8.5,(0.8-16.2),10.853986523287672
Sacramento,2021,Age groups,0-4 years,8.2,(2.6-13.7),9.705580372602741
San Joaquin,2021,Age groups,0-4 years,15.9,(7-24.8),12.587208419178083
Alameda,2021,Age groups,5-17 years,5.7,(2.5-8.8),8.016797906849316
Butte,2021,Age groups,5-17 years,10.8,(1.7-19.8),11.170550805555555
Calaveras,2021,Age groups,5-17 years,19.7,(2.1-37.2),8.491161033149172
Contra Costa,2021,Age groups,5-17 years,14.7,(7.7-21.7),8.13205958630137
Fresno,2021,Age groups,5-17 years,16.2,(9.4-23),15.582923783561645
Imperial,2021,Age groups,5-17 years,23.9,(10.5-37.2),10.288805681440444
Inyo,2021,Age groups,5-17 years,19.7,(2.1-37.2),8.692277589041096
Kern,2021,Age groups,5-17 years,17.5,(8.6-26.4),17.177790142465753
Kings,2021,Age groups,5-17 years,12.9,(2.4-23.4),14.549546838356164
Los Angeles,2021,Age groups,5-17 years,15.9,(13.3-18.5),13.758870345205478
Madera,2021,Age groups,5-17 years,15.5,(2.2-28.7),12.445088927170868
Marin,2021,Age groups,5-17 years,6.2,(0.4-12.1),7.08221735734072
Mono,2021,Age groups,5-17 years,19.7,(2.1-37.2),11.885422137614679
Napa,2021,Age groups,5-17 years,5.3,(0.6-9.9),7.275153388059701
Orange,2021,Age groups,5-17 years,11.5,(5.9-17.2),10.853986523287672
Placer,2021,Age groups,5-17 years,8.3,(2.5-14),9.790301983379502
Riverside,2021,Age groups,5-17 years,8.2,(5-11.3),6.961200602739726
Sacramento,2021,Age groups,5-17 years,14.1,(6.1-22.1),9.705580372602741
San Benito,2021,Age groups,5-17 years,14.8,(5-24.7),5.705513291316526
San Bernardino,2021,Age groups,5-17 years,19.8,(12.2-27.4),17.78084528219178
San Diego,2021,Age groups,5-17 years,13.2,(9-17.4),10.067989849315069
San Joaquin,2021,Age groups,5-17 years,8.3,(1-15.7),12.587208419178083
San Luis Obispo,2021,Age groups,5-17 years,9.7,(0.6-18.8),6.611409657534247
San Mateo,2021,Age groups,5-17 years,14.2,(5.2-23.1),6.0931133005617975
Santa Clara,2021,Age groups,5-17 years,14.7,(8.7-20.6),5.5119596931506845
Tulare,2021,Age groups,5-17 years,5.8,(1.6-10),14.20361650276243
Ventura,2021,Age groups,5-17 years,14.3,(2.9-25.6),7.6933700961538465
Yolo,2021,Age groups,5-17 years,13.0,(4-22),6.459136374301676
Alameda,2021,Age groups,18-64 years,20.3,(17.3-23.4),8.016797906849316
Butte,2021,Age groups,18-64 years,15.6,(10.4-20.8),11.170550805555555
Calaveras,2021,Age groups,18-64 years,27.9,(18.4-37.5),8.491161033149172
Colusa,2021,Age groups,18-64 years,20.6,(14.4-26.7),10.597676214876033
Contra Costa,2021,Age groups,18-64 years,21.8,(18-25.6),8.13205958630137
Fresno,2021,Age groups,18-64 years,21.9,(17.8-26),15.582923783561645
Imperial,2021,Age groups,18-64 years,17.1,(10.9-23.3),10.288805681440444
Inyo,2021,Age groups,18-64 years,27.9,(18.4-37.5),8.692277589041096
Kern,2021,Age groups,18-64 years,19.6,(14.6-24.6),17.177790142465753
Kings,2021,Age groups,18-64 years,18.4,(13.3-23.4),14.549546838356164
Los Angeles,2021,Age groups,18-64 years,15.4,(14.3-16.4),13.758870345205478
Madera,2021,Age groups,18-64 years,16.6,(11.8-21.4),12.445088927170868
Marin,2021,Age groups,18-64 years,17.8,(12.8-22.8),7.08221735734072
Mendocino,2021,Age groups,18-64 years,24.6,(15.8-33.5),9.275894041208792
Merced,2021,Age groups,18-64 years,17.8,(12.4-23.1),11.323016652054795
Mono,2021,Age groups,18-64 years,27.9,(18.4-37.5),11.885422137614679
Monterey,2021,Age groups,18-64 years,12.3,(7.5-17.2),3.6138012821917807
Napa,2021,Age groups,18-64 years,20.6,(12.9-28.4),7.275153388059701
Nevada,2021,Age groups,18-64 years,22.8,(16.5-29.2),8.739672708215297
Orange,2021,Age groups,18-64 years,12.9,(11.4-14.5),10.853986523287672
Placer,2021,Age groups,18-64 years,17.7,(13.4-21.9),9.790301983379502
Riverside,2021,Age groups,18-64 years,16.2,(13.5-18.8),6.961200602739726
Sacramento,2021,Age groups,18-64 years,20.8,(17.9-23.7),9.705580372602741
San Benito,2021,Age groups,18-64 years,17.5,(8.8-26.2),5.705513291316526
San Bernardino,2021,Age groups,18-64 years,17.2,(14.6-19.7),17.78084528219178
San Diego,2021,Age groups,18-64 years,16.6,(15.1-18),10.067989849315069
San Francisco,2021,Age groups,18-64 years,19.5,(16.1-22.9),7.233964920679887
San Joaquin,2021,Age groups,18-64 years,17.0,(13-20.9),12.587208419178083
San Luis Obispo,2021,Age groups,18-64 years,20.4,(13.8-27.1),6.611409657534247
San Mateo,2021,Age groups,18-64 years,17.5,(12.9-22.1),6.0931133005617975
Santa Barbara,2021,Age groups,18-64 years,20.4,(15.5-25.3),6.746123783561644
Santa Clara,2021,Age groups,18-64 years,16.0,(13.6-18.5),5.5119596931506845
Santa Cruz,2021,Age groups,18-64 years,19.7,(11.3-28),4.83616171780822
Siskiyou,2021,Age groups,18-64 years,16.7,(6.1-27.4),14.547603720930233
Solano,2021,Age groups,18-64 years,22.1,(15.6-28.6),8.457681502808988
Sonoma,2021,Age groups,18-64 years,18.4,(13.6-23.2),7.0161409244712996
Stanislaus,2021,Age groups,18-64 years,22.1,(16.2-27.9),15.005517684931508
Sutter,2021,Age groups,18-64 years,19.3,(12.4-26.2),14.62625910055866
Tehama,2021,Age groups,18-64 years,20.6,(14.4-26.7),11.01805901734104
Tulare,2021,Age groups,18-64 years,16.1,(11.7-20.5),14.20361650276243
Ventura,2021,Age groups,18-64 years,18.0,(13.8-22.2),7.6933700961538465
Yolo,2021,Age groups,18-64 years,23.3,(13.9-32.7),6.459136374301676
Alameda,2021,Age groups,65+ years,18.6,(13.5-23.7),8.016797906849316
Butte,2021,Age groups,65+ years,17.9,(12.2-23.5),11.170550805555555
Calaveras,2021,Age groups,65+ years,21.7,(14.4-29),8.491161033149172
Colusa,2021,Age groups,65+ years,16.3,(8.6-24),10.597676214876033
Contra Costa,2021,Age groups,65+ years,13.2,(9-17.3),8.13205958630137
Fresno,2021,Age groups,65+ years,21.2,(12.1-30.4),15.582923783561645
Imperial,2021,Age groups,65+ years,18.4,(7.7-29),10.288805681440444
Inyo,2021,Age groups,65+ years,21.7,(14.4-29),8.692277589041096
Kern,2021,Age groups,65+ years,9.7,(4.5-14.8),17.177790142465753
Kings,2021,Age groups,65+ years,21.5,(13.6-29.5),14.549546838356164
Los Angeles,2021,Age groups,65+ years,13.2,(11.2-15.1),13.758870345205478
Madera,2021,Age groups,65+ years,14.0,(8.3-19.8),12.445088927170868
Marin,2021,Age groups,65+ years,15.2,(9.9-20.5),7.08221735734072
Mendocino,2021,Age groups,65+ years,17.5,(11-24.1),9.275894041208792
Merced,2021,Age groups,65+ years,19.8,(9.6-30),11.323016652054795
Mono,2021,Age groups,65+ years,21.7,(14.4-29),11.885422137614679
Monterey,2021,Age groups,65+ years,8.0,(4.5-11.5),3.6138012821917807
Napa,2021,Age groups,65+ years,16.2,(9.6-22.7),7.275153388059701
Nevada,2021,Age groups,65+ years,12.9,(7.7-18.2),8.739672708215297
Orange,2021,Age groups,65+ years,10.9,(8.3-13.5),10.853986523287672
Placer,2021,Age groups,65+ years,23.4,(17.2-29.7),9.790301983379502
Riverside,2021,Age groups,65+ years,13.1,(9.7-16.6),6.961200602739726
Sacramento,2021,Age groups,65+ years,19.5,(14-25),9.705580372602741
San Benito,2021,Age groups,65+ years,12.1,(7.3-16.8),5.705513291316526
San Bernardino,2021,Age groups,65+ years,16.2,(11.2-21.2),17.78084528219178
San Diego,2021,Age groups,65+ years,12.5,(10.5-14.4),10.067989849315069
San Francisco,2021,Age groups,65+ years,11.7,(6.9-16.4),7.233964920679887
San Joaquin,2021,Age groups,65+ years,19.4,(13-25.8),12.587208419178083
San Luis Obispo,2021,Age groups,65+ years,15.0,(8-21.9),6.611409657534247
San Mateo,2021,Age groups,65+ years,14.8,(8.7-21),6.0931133005617975
Santa Barbara,2021,Age groups,65+ years,19.5,(13.1-26),6.746123783561644
Santa Clara,2021,Age groups,65+ years,10.6,(6.5-14.7),5.5119596931506845
Santa Cruz,2021,Age groups,65+ years,12.0,(6.2-17.8),4.83616171780822
Siskiyou,2021,Age groups,65+ years,9.8,(4.9-14.7),14.547603720930233
Solano,2021,Age groups,65+ years,21.5,(12.3-30.6),8.457681502808988
Sonoma,2021,Age groups,65+ years,18.5,(13.1-23.9),7.0161409244712996
Stanislaus,2021,Age groups,65+ years,16.8,(8-25.5),15.005517684931508
Sutter,2021,Age groups,65+ years,17.8,(8.7-26.8),14.62625910055866
Tehama,2021,Age groups,65+ years,16.3,(8.6-24),11.01805901734104
Tulare,2021,Age groups,65+ years,9.9,(5.5-14.3),14.20361650276243
Ventura,2021,Age groups,65+ years,11.3,(6.4-16.3),7.6933700961538465
Yolo,2021,Age groups,65+ years,14.6,(7.8-21.4),6.459136374301676
