County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg SO2
Alameda,2015,Total population,All ages,14.3,(10.7-17.9),0.7605494623955432
Contra Costa,2015,Total population,All ages,20.7,(13.8-27.6),0.5267983863013699
Fresno,2015,Total population,All ages,16.3,(10.7-22.0),0.5074178527777777
Humboldt,2015,Total population,All ages,18.1,(7.4-28.8),0.1091975261707989
Imperial,2015,Total population,All ages,15.1,(9.6-20.7),0.7286934732394366
Inyo,2015,Total population,All ages,14.2,(7.2-21.1),0.05164525
Los Angeles,2015,Total population,All ages,12.7,(11.0-14.3),0.19596831129476586
Orange,2015,Total population,All ages,12.8,(9.1-16.4),0.13122984084084083
Riverside,2015,Total population,All ages,15.5,(11.0-20.1),0.27004119154929573
Sacramento,2015,Total population,All ages,18.8,(14.0-23.6),1.816090694117647
San Bernardino,2015,Total population,All ages,15.9,(12.7-19.2),0.35885392328767124
San Diego,2015,Total population,All ages,14.1,(11.9-16.2),0.11037103492063491
San Luis Obispo,2015,Total population,All ages,11.1,(5.5-16.8),0.11427081095890411
Santa Barbara,2015,Total population,All ages,13.0,(4.9-21.2),0.026821284931506848
Santa Clara,2015,Total population,All ages,11.7,(8.3-15.1),0.2986403728813559
Solano,2015,Total population,All ages,21.4,(13.1-29.8),0.6714244201680672
Alameda,2015,Child vs. adult,0-17 years,18.4,(6.2-30.6),0.7605494623955432
Fresno,2015,Child vs. adult,0-17 years,18.1,(4.5-31.6),0.5074178527777777
Imperial,2015,Child vs. adult,0-17 years,22.0,(7.8-36.2),0.7286934732394366
Los Angeles,2015,Child vs. adult,0-17 years,12.6,(8.0-17.2),0.19596831129476586
Orange,2015,Child vs. adult,0-17 years,18.5,(6.5-30.5),0.13122984084084083
Riverside,2015,Child vs. adult,0-17 years,16.6,(4.6-28.6),0.27004119154929573
Sacramento,2015,Child vs. adult,0-17 years,9.2,(1.1-17.3),1.816090694117647
San Bernardino,2015,Child vs. adult,0-17 years,12.7,(2.7-22.7),0.35885392328767124
San Diego,2015,Child vs. adult,0-17 years,11.9,(5.8-18.0),0.11037103492063491
Santa Clara,2015,Child vs. adult,0-17 years,11.7,(0.6-22.7),0.2986403728813559
Alameda,2015,Child vs. adult,18+ years,13.1,(9.2-17.0),0.7605494623955432
Contra Costa,2015,Child vs. adult,18+ years,19.1,(14.2-24.0),0.5267983863013699
Fresno,2015,Child vs. adult,18+ years,15.7,(9.2-22.2),0.5074178527777777
Humboldt,2015,Child vs. adult,18+ years,18.8,(7.0-30.5),0.1091975261707989
Imperial,2015,Child vs. adult,18+ years,11.9,(7.2-16.6),0.7286934732394366
Inyo,2015,Child vs. adult,18+ years,14.7,(7.6-21.7),0.05164525
Los Angeles,2015,Child vs. adult,18+ years,12.7,(11.1-14.3),0.19596831129476586
Orange,2015,Child vs. adult,18+ years,11.3,(8.0-14.5),0.13122984084084083
Riverside,2015,Child vs. adult,18+ years,15.2,(10.2-20.1),0.27004119154929573
Sacramento,2015,Child vs. adult,18+ years,21.6,(16.3-26.9),1.816090694117647
San Bernardino,2015,Child vs. adult,18+ years,17.1,(13.4-20.9),0.35885392328767124
San Diego,2015,Child vs. adult,18+ years,14.7,(12.7-16.6),0.11037103492063491
San Luis Obispo,2015,Child vs. adult,18+ years,13.6,(7.7-19.5),0.11427081095890411
Santa Barbara,2015,Child vs. adult,18+ years,11.7,(4.5-18.8),0.026821284931506848
Santa Clara,2015,Child vs. adult,18+ years,11.7,(8.3-15.1),0.2986403728813559
Solano,2015,Child vs. adult,18+ years,24.9,(15.2-34.6),0.6714244201680672
Alameda,2015,Age groups,5-17 years,24.1,(5.9-42.2),0.7605494623955432
Contra Costa,2015,Age groups,5-17 years,34.3,(2.0-66.6),0.5267983863013699
Fresno,2015,Age groups,5-17 years,20.5,(3.4-37.6),0.5074178527777777
Imperial,2015,Age groups,5-17 years,24.1,(9.0-39.1),0.7286934732394366
Los Angeles,2015,Age groups,5-17 years,16.6,(10.0-23.2),0.19596831129476586
Orange,2015,Age groups,5-17 years,22.1,(5.3-38.8),0.13122984084084083
Riverside,2015,Age groups,5-17 years,20.6,(5.2-36.0),0.27004119154929573
Sacramento,2015,Age groups,5-17 years,13.6,(1.0-26.1),1.816090694117647
San Bernardino,2015,Age groups,5-17 years,15.7,(2.6-28.8),0.35885392328767124
San Diego,2015,Age groups,5-17 years,15.6,(7.0-24.1),0.11037103492063491
Alameda,2015,Age groups,18-64 years,12.9,(8.4-17.3),0.7605494623955432
Contra Costa,2015,Age groups,18-64 years,19.4,(12.9-26.0),0.5267983863013699
Fresno,2015,Age groups,18-64 years,15.9,(8.4-23.3),0.5074178527777777
Humboldt,2015,Age groups,18-64 years,20.5,(5.3-35.8),0.1091975261707989
Imperial,2015,Age groups,18-64 years,11.7,(6.6-16.8),0.7286934732394366
Inyo,2015,Age groups,18-64 years,12.9,(4.9-20.9),0.05164525
Los Angeles,2015,Age groups,18-64 years,12.6,(10.6-14.6),0.19596831129476586
Orange,2015,Age groups,18-64 years,10.4,(6.5-14.3),0.13122984084084083
Riverside,2015,Age groups,18-64 years,17.0,(10.9-23.0),0.27004119154929573
Sacramento,2015,Age groups,18-64 years,22.8,(16.7-29.0),1.816090694117647
San Bernardino,2015,Age groups,18-64 years,17.6,(12.7-22.5),0.35885392328767124
San Diego,2015,Age groups,18-64 years,15.1,(12.7-17.6),0.11037103492063491
San Luis Obispo,2015,Age groups,18-64 years,12.6,(4.9-20.4),0.11427081095890411
Santa Barbara,2015,Age groups,18-64 years,11.7,(2.9-20.5),0.026821284931506848
Santa Clara,2015,Age groups,18-64 years,11.8,(7.8-15.9),0.2986403728813559
Solano,2015,Age groups,18-64 years,25.8,(14.3-37.3),0.6714244201680672
Alameda,2015,Age groups,65+ years,14.4,(5.8-23.0),0.7605494623955432
Contra Costa,2015,Age groups,65+ years,17.8,(10.5-25.1),0.5267983863013699
Fresno,2015,Age groups,65+ years,14.9,(5.8-23.9),0.5074178527777777
Humboldt,2015,Age groups,65+ years,13.6,(3.3-23.8),0.1091975261707989
Imperial,2015,Age groups,65+ years,12.5,(2.4-22.6),0.7286934732394366
Inyo,2015,Age groups,65+ years,19.7,(5.8-33.5),0.05164525
Los Angeles,2015,Age groups,65+ years,13.2,(10.2-16.2),0.19596831129476586
Orange,2015,Age groups,65+ years,16.2,(9.5-23.0),0.13122984084084083
Riverside,2015,Age groups,65+ years,8.6,(4.1-13.2),0.27004119154929573
Sacramento,2015,Age groups,65+ years,15.2,(6.3-24.1),1.816090694117647
San Bernardino,2015,Age groups,65+ years,14.3,(5.5-23.1),0.35885392328767124
San Diego,2015,Age groups,65+ years,12.6,(8.7-16.5),0.11037103492063491
San Luis Obispo,2015,Age groups,65+ years,17.3,(3.4-31.3),0.11427081095890411
Santa Barbara,2015,Age groups,65+ years,11.5,(5.7-17.4),0.026821284931506848
Santa Clara,2015,Age groups,65+ years,11.2,(5.3-17.0),0.2986403728813559
Solano,2015,Age groups,65+ years,20.6,(4.4-36.7),0.6714244201680672
Alameda,2017,Total population,All ages,13.8,(9.7-17.9),0.528617778761062
Contra Costa,2017,Total population,All ages,17.5,(12.8-22.1),0.6415774273972603
Fresno,2017,Total population,All ages,19.8,(13.7-25.8),0.625524530726257
Humboldt,2017,Total population,All ages,17.3,(9.5-25.2),0.0343765593220339
Imperial,2017,Total population,All ages,14.7,(5.7-23.8),0.6877545027777778
Inyo,2017,Total population,All ages,18.6,(8.5-28.7),0.04964091139240506
Los Angeles,2017,Total population,All ages,14.6,(13.0-16.2),0.378814394520548
Orange,2017,Total population,All ages,11.9,(9.0-14.8),0.10049748603351955
Riverside,2017,Total population,All ages,15.7,(9.6-21.7),0.2941632561983471
Sacramento,2017,Total population,All ages,20.2,(15.2-25.1),1.8489786244541486
San Bernardino,2017,Total population,All ages,15.4,(11.9-19.0),0.7231546164383562
San Diego,2017,Total population,All ages,14.6,(12.2-16.9),0.11254086627906977
San Luis Obispo,2017,Total population,All ages,13.0,(7.2-18.8),0.00035833791208791216
Santa Barbara,2017,Total population,All ages,15.2,(3.7-26.7),0.024920473972602743
Santa Clara,2017,Total population,All ages,14.8,(11.5-18.1),0.20552411077844313
Solano,2017,Total population,All ages,22.6,(11.0-34.1),0.8083825464788732
Alameda,2017,Child vs. adult,0-17 years,15.6,(5.8-25.3),0.528617778761062
Fresno,2017,Child vs. adult,0-17 years,18.0,(3.3-32.8),0.625524530726257
Los Angeles,2017,Child vs. adult,0-17 years,14.8,(10.2-19.3),0.378814394520548
Orange,2017,Child vs. adult,0-17 years,10.4,(2.2-18.5),0.10049748603351955
Riverside,2017,Child vs. adult,0-17 years,16.1,(7.6-24.5),0.2941632561983471
Sacramento,2017,Child vs. adult,0-17 years,14.2,(2.9-25.6),1.8489786244541486
San Bernardino,2017,Child vs. adult,0-17 years,13.9,(2.3-25.4),0.7231546164383562
San Diego,2017,Child vs. adult,0-17 years,10.7,(5.0-16.4),0.11254086627906977
Santa Clara,2017,Child vs. adult,0-17 years,13.5,(3.6-23.4),0.20552411077844313
Alameda,2017,Child vs. adult,18+ years,13.3,(9.4-17.2),0.528617778761062
Contra Costa,2017,Child vs. adult,18+ years,19.7,(14.9-24.6),0.6415774273972603
Fresno,2017,Child vs. adult,18+ years,20.5,(14.7-26.2),0.625524530726257
Humboldt,2017,Child vs. adult,18+ years,17.0,(10.6-23.4),0.0343765593220339
Imperial,2017,Child vs. adult,18+ years,17.7,(9.2-26.1),0.6877545027777778
Inyo,2017,Child vs. adult,18+ years,24.1,(12.6-35.7),0.04964091139240506
Los Angeles,2017,Child vs. adult,18+ years,14.5,(13.2-15.9),0.378814394520548
Orange,2017,Child vs. adult,18+ years,12.3,(9.2-15.5),0.10049748603351955
Riverside,2017,Child vs. adult,18+ years,15.5,(8.8-22.2),0.2941632561983471
Sacramento,2017,Child vs. adult,18+ years,22.0,(17.4-26.7),1.8489786244541486
San Bernardino,2017,Child vs. adult,18+ years,16.0,(12.4-19.6),0.7231546164383562
San Diego,2017,Child vs. adult,18+ years,15.8,(13.2-18.5),0.11254086627906977
San Luis Obispo,2017,Child vs. adult,18+ years,15.4,(8.9-21.8),0.00035833791208791216
Santa Barbara,2017,Child vs. adult,18+ years,16.5,(3.8-29.1),0.024920473972602743
Santa Clara,2017,Child vs. adult,18+ years,15.2,(11.6-18.8),0.20552411077844313
Solano,2017,Child vs. adult,18+ years,22.7,(12.0-33.3),0.8083825464788732
Los Angeles,2017,Age groups,0-4 years,6.5,(1.2-11.7),0.378814394520548
Alameda,2017,Age groups,5-17 years,15.4,(4.1-26.7),0.528617778761062
Fresno,2017,Age groups,5-17 years,24.1,(4.7-43.6),0.625524530726257
Los Angeles,2017,Age groups,5-17 years,17.9,(12.3-23.5),0.378814394520548
Orange,2017,Age groups,5-17 years,13.6,(2.5-24.8),0.10049748603351955
Riverside,2017,Age groups,5-17 years,20.5,(8.4-32.5),0.2941632561983471
Sacramento,2017,Age groups,5-17 years,17.9,(3.0-32.7),1.8489786244541486
San Bernardino,2017,Age groups,5-17 years,18.3,(4.9-31.7),0.7231546164383562
San Diego,2017,Age groups,5-17 years,13.5,(6.3-20.6),0.11254086627906977
Santa Clara,2017,Age groups,5-17 years,18.5,(5.2-31.7),0.20552411077844313
Alameda,2017,Age groups,18-64 years,13.2,(9.1-17.3),0.528617778761062
Contra Costa,2017,Age groups,18-64 years,21.0,(15.1-26.8),0.6415774273972603
Fresno,2017,Age groups,18-64 years,21.2,(14.6-27.7),0.625524530726257
Humboldt,2017,Age groups,18-64 years,18.0,(9.9-26.1),0.0343765593220339
Imperial,2017,Age groups,18-64 years,16.6,(6.9-26.4),0.6877545027777778
Inyo,2017,Age groups,18-64 years,25.5,(9.7-41.4),0.04964091139240506
Los Angeles,2017,Age groups,18-64 years,14.9,(13.3-16.5),0.378814394520548
Orange,2017,Age groups,18-64 years,12.8,(8.9-16.7),0.10049748603351955
Riverside,2017,Age groups,18-64 years,16.4,(8.9-23.8),0.2941632561983471
Sacramento,2017,Age groups,18-64 years,22.5,(17.0-27.9),1.8489786244541486
San Bernardino,2017,Age groups,18-64 years,16.6,(12.3-20.9),0.7231546164383562
San Diego,2017,Age groups,18-64 years,16.8,(13.2-20.3),0.11254086627906977
San Luis Obispo,2017,Age groups,18-64 years,14.4,(6.6-22.2),0.00035833791208791216
Santa Barbara,2017,Age groups,18-64 years,18.0,(0.4-35.6),0.024920473972602743
Santa Clara,2017,Age groups,18-64 years,14.9,(11.0-18.9),0.20552411077844313
Solano,2017,Age groups,18-64 years,23.1,(10.6-35.6),0.8083825464788732
Alameda,2017,Age groups,65+ years,13.7,(5.1-22.4),0.528617778761062
Contra Costa,2017,Age groups,65+ years,15.0,(6.3-23.7),0.6415774273972603
Fresno,2017,Age groups,65+ years,16.5,(4.5-28.6),0.625524530726257
Imperial,2017,Age groups,65+ years,22.1,(3.5-40.7),0.6877545027777778
Inyo,2017,Age groups,65+ years,20.6,(7.6-33.5),0.04964091139240506
Los Angeles,2017,Age groups,65+ years,12.9,(10.1-15.8),0.378814394520548
Riverside,2017,Age groups,65+ years,12.4,(5.8-19.0),0.2941632561983471
Sacramento,2017,Age groups,65+ years,20.2,(9.2-31.2),1.8489786244541486
San Bernardino,2017,Age groups,65+ years,12.5,(5.8-19.2),0.7231546164383562
San Diego,2017,Age groups,65+ years,11.6,(7.1-16.1),0.11254086627906977
San Luis Obispo,2017,Age groups,65+ years,17.2,(6.5-28.0),0.00035833791208791216
Santa Clara,2017,Age groups,65+ years,16.4,(9.2-23.6),0.20552411077844313
Solano,2017,Age groups,65+ years,20.3,(7.8-32.8),0.8083825464788732
Alameda,2019,Total population,All ages,14.9,(12.5-17.3),0.3666901771428572
Contra Costa,2019,Total population,All ages,17.9,(14.2-21.5),0.5097831506849315
Fresno,2019,Total population,All ages,20.0,(16.3-23.7),0.4185455331491713
Humboldt,2019,Total population,All ages,16.8,(12.9-20.8),0.4759031865443425
Imperial,2019,Total population,All ages,15.9,(11.4-20.3),0.30873089349112426
Inyo,2019,Total population,All ages,25.1,(20.2-30.0),0.08436215151515152
Los Angeles,2019,Total population,All ages,14.6,(13.6-15.7),0.32584115068493147
Riverside,2019,Total population,All ages,12.2,(10.4-14.0),0.41592256824512536
